 2017  8 4F 551 53.8 L  76.431   7.336  9.1FFAWI 30 4.9                        1
                                                         ID:20170804055154     I
                          17.8    61.6  0.0                                    E
 2017-08-04_05-51-54.mseed                                                     6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 KNR08    P        551 55.70                                                    
 KNR08    S        551 57.10                                                    
 KNR25    P        551 55.70                                                    
 KNR25    S        551 57.20                                                    
 KNR23    P        551 56.10                                                    
 KNR23    S        551 57.90                                                    
 KNR19    P        551 56.30                                                    
 KNR19    S        551 58.30                                                    
 KNR24    P        551 56.80                                                    
 KNR24    S        551 59.20                                                    
 KNR07    P        551 57.00                                                    
 KNR07    S        551 59.40                                                    
 KNR21    P        551 57.00                                                    
 KNR21    S        551 59.50                                                    
 KNR20    P        551 57.30                                                    
 KNR20    S        552  0.00                                                    
 KNR30    P        551 57.40                                                    
 KNR30    S        552  0.20                                                    
 KNR28    P        551 57.50                                                    
 KNR28    S        552  0.40                                                    
 KNR10    P        551 57.70                                                    
 KNR10    S        552  0.70                                                    
 KNR09    P        551 58.10                                                    
 KNR09    S        552  1.50                                                    
 KNR22    P        551 58.10                                                    
 KNR22    S        552  1.50                                                    
 KNR18    P        551 58.60                                                    
 KNR18    S        552  2.30                                                    
 KNR27    P        551 59.40                                                    
 KNR27    S        552  3.80                                                    
 KNR26    P        551 59.40                                                    
 KNR26    S        552  3.80                                                    
 KNR05    P        551 59.50                                                    
 KNR05    S        552  3.90                                                    
 KNR06    P        551 59.50                                                    
 KNR06    S        552  3.90                                                    
 KNR12    P        552  0.40                                                    
 KNR12    S        552  5.50                                                    
 KNR11    P        552  0.40                                                    
 KNR11    S        552  5.60                                                    
 KNR29    P        552  0.90                                                    
 KNR29    S        552  6.30                                                    
 KNR17    P        552  0.80                                                    
 KNR17    S        552  6.30                                                    
 KNR03    P        552  2.60                                                    
 KNR03    S        552  9.40                                                    
 KNR04    P        552  2.50                                                    
 KNR04    S        552  9.30                                                    
 KNR14    P        552  3.00                                                    
 KNR14    S        552 10.10                                                    
 KNR13    P        552  3.00                                                    
 KNR13    S        552 10.20                                                    
 KNR02    P        552  5.00                                                    
 KNR02    S        552 13.60                                                    
 KNR01    P        552  5.00                                                    
 KNR01    S        552 13.70                                                    
 KNR16    P        552  5.30                                                    
 KNR16    S        552 14.30                                                    
 KNR15    S        552 14.30                                                    
 KNR15    P        552  5.40                                                    
                                                                                
